name,latitude,longitude,population
Istanbul,41.0082,28.9784,15701602
Moscow,55.7558,37.6173,13274285
London,51.5074,-0.1278,8866180
Saint Petersburg,59.9343,30.3351,5652922
Berlin,52.5200,13.4050,3897145
Madrid,40.4168,-3.7038,3416771
Kyiv,50.4501,30.5234,2952301
Rome,41.9028,12.4964,2751747
Baku,40.4093,49.8671,2344900
Paris,48.8566,2.3522,2048472
Vienna,48.2082,16.3738,2028399
Minsk,53.9045,27.5615,1996730
Hamburg,53.5511,10.0007,1910160
Warsaw,52.2297,21.0122,1862402
Bucharest,44.4268,26.1025,1719958
Barcelona,41.3851,2.1734,1702547
Budapest,47.4979,19.0402,1686222
Belgrade,44.7866,20.4489,1683229
Munich,48.1351,11.5820,1510378
Kharkiv,49.9935,36.2304,1421225
Prague,50.0755,14.4378,1397880
Milan,45.4642,9.1900,1371499
Kazan,55.7961,49.1089,1329825
Sofia,42.6977,23.3219,1295931
Tbilisi,41.7151,44.8271,1258526
Nizhny Novgorod,56.3268,44.0059,1198245
Ufa,54.7351,55.9587,1166098
Birmingham,52.4862,-1.8904,1157603
Krasnodar,45.0355,38.9759,1154885
Samara,53.1959,50.1002,1154223
Rostov-on-Don,47.2357,39.7105,1143123
Yerevan,40.1792,44.4991,1127000
Cologne,50.9375,6.9603,1086463
Voronezh,51.6608,39.2003,1041722
Perm,58.0105,56.2294,1027518
Volgograd,48.7070,44.5169,1012219
Odesa,46.4825,30.7233,1010537
