[2025-06-09T18:40:02.391+0200] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-09T18:40:02.409+0200] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: backfill_pollution_weather_dag.format_backfill_all_data manual__2025-06-09T16:39:57.729782+00:00 [queued]>
[2025-06-09T18:40:02.414+0200] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: backfill_pollution_weather_dag.format_backfill_all_data manual__2025-06-09T16:39:57.729782+00:00 [queued]>
[2025-06-09T18:40:02.414+0200] {taskinstance.py:2303} INFO - Starting attempt 1 of 2
[2025-06-09T18:40:02.433+0200] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): format_backfill_all_data> on 2025-06-09 16:39:57.729782+00:00
[2025-06-09T18:40:02.436+0200] {standard_task_runner.py:63} INFO - Started process 164479 to run task
[2025-06-09T18:40:02.441+0200] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'backfill_pollution_weather_dag', 'format_backfill_all_data', 'manual__2025-06-09T16:39:57.729782+00:00', '--job-id', '432', '--raw', '--subdir', 'DAGS_FOLDER/backfill_dag.py', '--cfg-path', '/tmp/tmppbgi9w4z']
[2025-06-09T18:40:02.441+0200] {standard_task_runner.py:91} INFO - Job 432: Subtask format_backfill_all_data
[2025-06-09T18:40:02.480+0200] {task_command.py:426} INFO - Running <TaskInstance: backfill_pollution_weather_dag.format_backfill_all_data manual__2025-06-09T16:39:57.729782+00:00 [running]> on host DESKTOP-2QS8J6D.
[2025-06-09T18:40:02.548+0200] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='backfill_pollution_weather_dag' AIRFLOW_CTX_TASK_ID='format_backfill_all_data' AIRFLOW_CTX_EXECUTION_DATE='2025-06-09T16:39:57.729782+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-09T16:39:57.729782+00:00'
[2025-06-09T18:40:02.549+0200] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-09T18:40:08.340+0200] {logging_mixin.py:188} INFO - [CITY] Processing: moscow
[2025-06-09T18:40:08.341+0200] {logging_mixin.py:188} INFO - [CITY] Processing: istanbul
[2025-06-09T18:40:17.045+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-01
[2025-06-09T18:40:17.046+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-01
[2025-06-09T18:40:18.399+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-02
[2025-06-09T18:40:19.693+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-02
[2025-06-09T18:40:20.330+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-03
[2025-06-09T18:40:20.773+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-03
[2025-06-09T18:40:21.882+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-04
[2025-06-09T18:40:22.600+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-04
[2025-06-09T18:40:23.223+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-05
[2025-06-09T18:40:23.586+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-05
[2025-06-09T18:40:24.075+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-06
[2025-06-09T18:40:24.568+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-06
[2025-06-09T18:40:24.943+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-07
[2025-06-09T18:40:26.081+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-07
[2025-06-09T18:40:26.428+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-08
[2025-06-09T18:40:26.911+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-08
[2025-06-09T18:40:27.334+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-09
[2025-06-09T18:40:27.754+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-09
[2025-06-09T18:40:28.157+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-10
[2025-06-09T18:40:28.534+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-10
[2025-06-09T18:40:28.935+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-11
[2025-06-09T18:40:29.290+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-11
[2025-06-09T18:40:29.695+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-12
[2025-06-09T18:40:30.107+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-12
[2025-06-09T18:40:30.465+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-13
[2025-06-09T18:40:30.879+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-13
[2025-06-09T18:40:31.387+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-14
[2025-06-09T18:40:31.844+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-14
[2025-06-09T18:40:32.066+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-15
[2025-06-09T18:40:32.567+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-15
[2025-06-09T18:40:32.944+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-16
[2025-06-09T18:40:33.432+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-16
[2025-06-09T18:40:33.764+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-17
[2025-06-09T18:40:34.070+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-17
[2025-06-09T18:40:34.554+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-18
[2025-06-09T18:40:34.894+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-18
[2025-06-09T18:40:35.344+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-19
[2025-06-09T18:40:35.948+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-19
[2025-06-09T18:40:36.544+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-20
[2025-06-09T18:40:37.310+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-20
[2025-06-09T18:40:37.934+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-21
[2025-06-09T18:40:38.565+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-21
[2025-06-09T18:40:39.211+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-22
[2025-06-09T18:40:39.986+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-22
[2025-06-09T18:40:40.584+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-23
[2025-06-09T18:40:41.270+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-23
[2025-06-09T18:40:41.955+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-24
[2025-06-09T18:40:42.605+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-24
[2025-06-09T18:40:43.156+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-25
[2025-06-09T18:40:43.899+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-25
[2025-06-09T18:40:44.545+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-26
[2025-06-09T18:40:45.254+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-26
[2025-06-09T18:40:45.745+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-27
[2025-06-09T18:40:46.376+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-27
[2025-06-09T18:40:46.974+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-28
[2025-06-09T18:40:47.595+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-28
[2025-06-09T18:40:48.324+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-29
[2025-06-09T18:40:49.370+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-29
[2025-06-09T18:40:50.686+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-30
[2025-06-09T18:40:51.618+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-30
